check_id,url,severity,status,source,artifact_ref,result,next_action
media_support_present,https://inc5shop.com/products/block-transparent-mules-white-300385,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,22 images found on the page.,
content_not_ai_slop,https://inc5shop.com/products/block-transparent-mules-white-300385,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Rendered copy reviewed for common generic AI filler phrases.,
thin_prompt_variant_pages,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,Rendered public text has 64612 words.,
docs_content_extractable,https://inc5shop.com/products/block-transparent-mules-white-300385,medium,not_applicable,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/0d5ad55b5bed/firecrawl.json,This is not a docs or support URL.,
crawl_status,https://inc5shop.com/products/driving-shoes-tan-069-1b,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,URL crawled with status 200.,
indexable,https://inc5shop.com/products/driving-shoes-tan-069-1b,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Indexability is yes.,
title_present,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Title: Buy Now driving-shoes-tan-069-1b Buy Now driving-shoes-tan-069-1b,
meta_description_present,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,"Meta description: Shape smarter looks instantly using tan driving shoes, for smart offices and refined casual settings, for travel-ready plans, graceful. Make formals feel fresh.",
single_h1,https://inc5shop.com/products/driving-shoes-tan-069-1b,medium,fail,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,H1 count is 2.,Use one clear H1 on the page.
canonical_match,https://inc5shop.com/products/driving-shoes-tan-069-1b,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Canonical: https://inc5shop.com/products/driving-shoes-tan-069-1b,
schema_present,https://inc5shop.com/products/driving-shoes-tan-069-1b,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,"Schema types: Brand, Offer, Organization, Product, ProductGroup",
image_alt_text,https://inc5shop.com/products/driving-shoes-tan-069-1b,low,fail,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,2 images are missing alt text.,Add useful alt text for meaningful images.
sitemap_inclusion,https://inc5shop.com/products/driving-shoes-tan-069-1b,low,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Sitemap inclusion is yes.,
content_visible,https://inc5shop.com/products/driving-shoes-tan-069-1b,high,pass,firecrawl,brands/inc5/references/crawls/inc5-systemic-audit-public-html-20260709/pages/6d50dee6b57c/firecrawl.json,Rendered public text has 60292 words.,
